Study_number,Site_ID,Latitude,Longitude,R,p_R,Q,p_Q,Ts_mean,Q10_Rs,obs,Q_Rh,p_Q_Rh,Q10_Rh,obs_Rh,Q_Ra,p_Q_Ra,Q10_Ra,obs_Ra,IGBP,Ecosystem,IGBP_group,barren_yn,ClimateTypes,MiddleClimate,Ecosystem2,warner_rs,Q10_diff,IGBP_FromPaper,
4554,FI-LIA-PES,62.75,30.75,0.588940327,0,0.058748787,0,12.28611111,1.799462242,36,0.054851807,0.0019,1.730686366,36,0.061855861,0,1.856250537,36,CRO,Wetland,WAT,0,Dfc,Df,Wetland,283.0682634,0.125564171,CRO,
4629,CN-YAE,31.75,105.75,0.540308472,0.0026,0.063463793,2.00E-04,16.7675,1.886339029,12,0.048267621,0,1.620405146,12,0.080421745,0.0017,2.234946853,12,ENF,Agriculture,CRO,0,Cwa,Cw,Agriculture,344.5912318,0.614541707,ENF,
5113,CN-AMN-CK,24.75,101.25,0.540676145,0.0017,0.120247082,0,11.78636364,3.328330481,33,0.125691506,0,3.514562536,33,0.108993702,9.00E-04,2.974086761,33,ENF,Forest,MF,0,Cwb,Cw,T&B FOR,393.8815149,-0.540475774,ENF,
5114,AT-MWA-CK,47.75,11.75,0.466070647,0,0.120411977,0,10.09321429,3.333823248,28,0.059105763,0.0091,1.805897373,28,0.19754819,0,7.210093331,28,ENF,Forest,EF,0,Cfb,Cf,T&B FOR,445.1709947,5.404195957,ENF,
5125,JP-SHE-CK,42.43,142.48,0.781625305,0,0.123395788,0,9.02125,3.434797196,24,0.139015468,0,4.015471125,24,0.108678834,0,2.964737038,24,GRA,Forest,MF,0,Dfb,Df,T&B FOR,427.4995261,-1.050734087,GRA,
5317,CH-LGE-FAGUS1,47.75,8.75,1.212090745,0,0.069332178,0,11.88055556,2.00034923,36,0.064490558,0,1.90580707,36,0.07591763,1.00E-04,2.136515639,36,CRO,Agriculture,CRO,0,Cfb,Cf,Agriculture,446.712731,0.230708569,CRO,
5522,JP-TAK,36.25,137.75,0.765123497,0,0.080727459,0,9.155,2.241789863,24,0.06635433,0,1.941660048,24,0.094634473,0,2.576275436,24,ENF,Forest,MF,0,Dfb,Df,T&B FOR,420.6892195,0.634615388,ENF,
5524,KR-GWF-ABIES,38.25,127.75,0.390449899,1.00E-04,0.107643645,0,NA,2.934204711,29,0.113791579,0,3.12025831,29,0.085007309,1.00E-04,2.339817873,29,DBF,Forest,MF,0,Dwa,Dsw,T&B FOR,452.9322485,-0.780440438,DBF,
5688,DE-HNP,51.25,10.75,1.667485114,0,0.060802765,0,9.877631579,1.836804996,38,0.01967963,0.0224,1.217496013,38,0.093831556,0,2.555672922,38,CRO,Agriculture,CRO,0,Cfb,Cf,Agriculture,366.6485966,1.338176909,CRO,
5702,CN-YAS-CK,30.25,103.25,0.202071419,0.015,0.130392572,0,14.19666667,3.683729623,12,0.12662207,0.0441,3.547420434,6,0.206819748,0.0261,7.910551325,6,CRO,Agriculture,CRO,0,Cwa,Cw,Agriculture,383.4559313,4.363130891,CRO,
5727,GB-WYW,52.25,-1.25,0.368047403,0,0.104906121,0,11.09066667,2.854969649,30,0.076204215,0,2.142647357,30,0.148972849,1.00E-04,4.435890963,30,CRO,Agriculture,CRO,0,Cfb,Cf,Agriculture,333.6142564,2.293243606,CRO,
5766,PE-SPE-TAM,-12.75,-69.25,0.586176605,0.1196,0.090896648,0.0067,16.72545455,2.481756257,8,0.145329224,0.0183,4.277172824,8,0.073949339,0.0515,2.094873951,8,EBF,Forest,EF,0,Af,A,Tropic FOR,711.1421571,-2.182298873,ENF,
5824,JP-TNF-IRGA,42.73,141.52,0.720768096,0,0.10356768,0,10.5925,2.817012156,12,0.105885984,0,2.883081947,12,0.099597028,0,2.707349957,12,DBF,Agriculture,CRO,0,Dfb,Df,Agriculture,372.2019253,-0.175731991,DBF,
5831,DE-SOF-BEECH,52.25,9.75,0.858201203,0.0096,0.048073314,0.0557,11.53136364,1.617259649,11,0.048400565,0.0541,1.622560819,11,0.047715051,0.0567,1.61147597,11,DBF,Agriculture,CRO,0,Cfb,Cf,Agriculture,347.6921902,-0.011084849,DBF,
5831,DE-SOF-GAP,52.25,9.75,0.439516413,0.0018,0.053824773,0.0072,11.53136364,1.713002596,11,0.053480476,0.0073,1.707114912,11,0.053728524,0.0071,1.711354625,11,OSH,Agriculture,CRO,0,Cfb,Cf,Agriculture,347.6921902,0.004239714,OSH,
5831,DE-SOF-MIX,52.25,9.75,0.711683072,0.0078,0.045319045,0.0439,11.53136364,1.573323791,11,0.045559654,0.043,1.57711392,11,0.045558899,0.0423,1.577102005,11,MF,Agriculture,CRO,0,Cfb,Cf,Agriculture,347.6921902,-1.19E-05,MF,
5831,DE-SOF-SPRUCE,52.25,9.75,0.651330435,0.0103,0.042922499,0.0879,11.53136364,1.536066596,11,0.043307248,0.0855,1.541987986,11,0.043147976,0.0846,1.539533986,11,DNF,Agriculture,CRO,0,Cfb,Cf,Agriculture,347.6921902,-0.002454,DNF,
6090,CN-BTM-143YR,33.75,112.25,0.78678536,0.0036,0.11549339,0,NA,3.173813615,18,0.122865618,0,3.416635106,18,0.074861005,0.0131,2.11405954,18,DBF,Forest,MF,0,Cwa,Cw,T&B FOR,439.4947989,-1.302575566,DBF,
6090,CN-BTM-40YR,33.75,112.25,0.63158951,7.00E-04,0.106835662,0,NA,2.910592349,18,0.106601789,4.00E-04,2.903793212,18,0.107280517,0.0468,2.923569115,18,DBF,Forest,MF,0,Cwa,Cw,T&B FOR,439.4947989,0.019775903,DBF,
6090,CN-BTM-48YR,33.75,112.25,0.528135834,0.0014,0.120189854,0,NA,3.326426301,17,0.126758868,0,3.552276554,17,0.106883055,0.0038,2.911972101,17,DBF,Forest,MF,0,Cwa,Cw,T&B FOR,439.4947989,-0.640304453,DBF,
6090,CN-BTM-80YR,33.75,112.25,0.703255406,0.0064,0.122550475,0,NA,3.40588477,18,0.129471765,0,3.649965261,18,0.111088081,0.0286,3.037032277,18,DBF,Forest,MF,0,Cwa,Cw,T&B FOR,439.4947989,-0.612932984,DBF,
6100,CN-YTA,31.75,105.75,0.63856938,2.00E-04,0.04924843,0,16.92714286,1.63637642,14,0.044595611,0.001,1.561982907,14,0.054996477,0,1.733191958,14,CRO,Agriculture,CRO,0,Cwa,Cw,Agriculture,344.5912318,0.171209051,CRO,
6219,JP-APF,40.25,140.75,0.733036857,0.004,0.119928851,1.00E-04,11.69916667,3.317755539,12,0.126222988,2.00E-04,3.533291509,12,0.110069111,0.0355,3.006242954,12,DBF,Forest,MF,0,Dfa,Df,T&B FOR,428.9130477,-0.527048555,DBF,
6315,US-FNA,42.25,-88.25,0.85885028,0.0151,0.08890179,1.00E-04,18.1625,2.432739293,36,0.102189263,0.0113,2.77844837,36,0.068862876,0,1.990983542,36,GRA,Urban,URB,0,Dfa,Df,Urban,402.3874065,-0.787464828,GRA,
6334,GB-AHR-I,51.25,-0.75,0.60242124,0.0011,0.118588922,1.00E-04,10.00369565,3.27359647,11,0.11866486,1.00E-04,3.276083333,11,0.11866486,1.00E-04,3.276083333,11,DBF,Forest,MF,0,Cfb,Cf,T&B FOR,406.3222925,0,DBF,
6334,GB-AHR-II,51.25,-0.75,0.709133894,0.017,0.094223937,0.0065,10.00369565,2.565720578,12,0.080912112,6.00E-04,2.245933209,12,0.103149627,0.0412,2.805260123,12,DBF,Forest,MF,0,Cfb,Cf,T&B FOR,406.3222925,0.559326914,DBF,
6334,GB-AHR-III,51.25,-0.75,0.809339849,0.0232,0.088630492,0.0126,10.00369565,2.426148245,12,0.054765136,0.0511,1.729187006,12,0.11737051,0.0091,3.233952596,12,DBF,Forest,MF,0,Cfb,Cf,T&B FOR,406.3222925,1.50476559,DBF,
6372,CA-AJB-MW,49.25,-78.75,1.907739977,0,0.085641218,0,4.78375,2.354697289,24,0.091805714,0,2.504419917,24,0.047185791,0.084,1.602969598,24,ENF,Forest,EF,0,Dfc,Df,T&B FOR,496.0165444,-0.901450319,ENF,
6504,DE-NEU,53.25,13.25,0.754217345,0,0.081143485,0,8.9155,2.251135708,60,0.074136358,0,2.098795434,60,0.10759682,0,2.932831085,60,ENF,Forest,MF,0,Cfb,Cf,T&B FOR,373.9993903,0.834035652,ENF,
6511,CN-GLS-BL,36.75,109.75,1.183571672,0.0092,0.057301725,0.0064,NA,1.773610406,20,0.036323365,0.0923,1.437971809,20,0.134719519,0.0033,3.846621335,20,GRA,Grassland,GRA,0,Dwa,Dsw,Grassland,310.0668817,2.408649526,GRA,
6548,CN-YHS,29.75,103.75,0.263124949,5.00E-04,0.093498458,0,14.9475,2.547174182,12,0.070382644,5.00E-04,2.021472967,12,0.124138898,0,3.460416562,12,MF,Forest,MF,0,Cwa,Cw,T&B FOR,374.6866428,1.438943596,MF,
6575,DE-SPP-CK,50.25,12.25,0.223756836,0.0027,0.202803433,0,6.4165,7.599134251,40,0.219410807,0,8.971995082,40,0.17177665,0.0011,5.572069356,40,WET,Forest,MF,0,Cfb,Cf,T&B FOR,361.191587,-3.399925726,WET,
6984,CN-NFR-GRA,47.43,126.63,0.404873268,0.0015,0.060393695,8.00E-04,9.301904762,1.829306524,22,0.059252629,0.0076,1.808551568,22,0.051024822,0.0211,1.665704604,20,GRA,Grassland,CRO,0,Dwb,Dsw,Agriculture,447.8525716,-0.142846965,GRA,
7100,NL-OLD-19YR,52.75,6.25,0.260868848,2.00E-04,0.137262784,0,10.36315789,3.945705781,19,0.11063837,0,3.023405048,19,0.207703863,0.0046,7.980799776,16,GRA,Grassland,GRA,0,Cfb,Cf,Grassland,370.3272708,4.957394728,GRA,
7150,CN-LZG-GRAZ,36.25,104.25,0.245159562,0.0059,0.078181438,4.00E-04,6.6525,2.185433871,12,0.078486841,0,2.192118457,12,0.079072612,0.0236,2.204996941,12,GRA,Grassland,GRA,0,BSk,B,Grassland,183.899524,0.012878483,GRA,
7289,JP-FUJ,35.45,138.77,0.548332063,0,0.099747405,0,8.732083333,2.711424263,24,0.116359053,0,3.201407418,24,0.062725341,0,1.872460628,24,ENF,Forest,MF,0,Cfa,Cf,T&B FOR,409.4080808,-1.32894679,ENF,
